"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"887","1628","10",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"888","1028","10",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"889","1628","20",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"890","1028","20",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"891","1628","30",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"892","1028","30",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"893","1628","40",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"894","1028","40",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"895","1628","50",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"896","1028","50",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"897","1628","60",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"898","1028","60",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"899","1628","70",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"900","1028","70",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"901","1628","80",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"902","1028","80",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"903","1628","90",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"904","1028","90",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"905","1628","100",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"906","1028","100",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"909","1075","10",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"910","1541","10",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"911","1075","20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"912","1541","20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"913","1075","30",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"914","1541","30",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"915","1075","40",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"916","1541","40",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"917","1075","50",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
"918","1541","50",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.06]}","0.06"
