"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_invited_at"
"1375","1891","10",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1377","1891","20",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1379","1891","30",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1381","1891","40",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1363","1889","20_5",2,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1873,1889,1859]],""tribes_score"":[526.43639842212,526.3342534601757],""highlights_count"":[65,301],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5,20.0]}","2019-07-08 15:58:50.337175"
"1380","1895","40",3,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1904,1895,1903],[1911,1895,1861]],""tribes_score"":[464.2055130748919,449.68810893359887,492.4587187114688],""highlights_count"":[34,38,52],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,40.0,40.0]}","2019-07-08 15:58:50.337175"
"1366","1886","20_20",5,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1902,1886,1904],[1903,1886,1868],[1914,1886,1853],[1924,1903,1886]],""tribes_score"":[526.43639842212,425.9633330436492,468.1918134941718,509.4307778353889,498.40881307101336],""highlights_count"":[65,26,44,72,62],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20,20.0,20.0,20.0,20.0]}","2019-07-08 15:58:50.337175"
"1353","1889","20",2,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1873,1889,1859]],""tribes_score"":[526.43639842212,526.3342534601757],""highlights_count"":[65,301],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,20.0]}","2019-07-08 15:58:50.337175"
"1368","1886","0_30",5,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1856,1853,1886],[1903,1904,1886],[1914,1886,1911],[1924,1903,1886]],""tribes_score"":[526.43639842212,479.3510562362562,470.56098685921916,482.86762158249593,498.40881307101336],""highlights_count"":[65,46,38,23,62],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30,0.0,0.0,0.0,0.0]}","2019-07-08 15:58:50.337175"
"1358","1886","50",4,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1903,1886,1868],[1914,1886,1853],[1924,1903,1886]],""tribes_score"":[526.43639842212,468.1918134941718,509.4307778353889,498.40881307101336],""highlights_count"":[65,44,72,62],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,50.0,50.0,50.0]}","2019-07-08 15:58:50.337175"
