,App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Body,Oracle,Body_token,Body_no_negations,Body_no_negations_no_sw,Body_no_negations_no_sw_stem,Body_token_n_grams,Translated Subject
0,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPR1Zmek5CaWJROElQTWdDNVdHX252Yk5HX3B2cU16Tk4xX1RRSzBsQ25MMmNTUFltaXNKS3NfeHpDQU5vMTBRc2c3X1FIOUNXTXBLdmExX1E,English,,5,2017-05-20,Kiarash2Tab3,,Kiarash2Tab3 Lenovo™🆙👑🗽😎👨,,OTHER,"['kiarash2tab3', 'lenovo™🆙👑🗽😎👨']","['kiarash2tab3', 'lenovo™🆙👑🗽😎👨']","['kiarash2tab3', 'lenovo™🆙👑🗽😎👨']","['kiarash2tab3', 'lenovo™🆙👑🗽😎👨']","[('kiarash2tab3', 'lenovo™🆙👑🗽😎👨')]",
1,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSEhJRXRPSU8ySEtqQ0tlejdDYVZrYzhHTy1uZGVWTm5sNG9vSkJhYWZzWmoyc3VCRG1UYWhRdWR5LTA0bERFRkFzVUFhSzhLMnJjMEZzU3c,English,,5,2017-05-18,manthan t,,Blazingly faster than cisco anyconnect !!,,PERFORMANCE,"['blazingly', 'faster', 'than', 'cisco', 'anyconnect', '!', '!']","['blazingly', 'faster', 'than', 'cisco', 'anyconnect', '!', '!']","['blazingly', 'faster', 'cisco', 'anyconnect', '!', '!']","['blazingli', 'faster', 'cisco', 'anyconnect', '!', '!']","[('blazingly', 'faster'), ('faster', 'than'), ('than', 'cisco'), ('cisco', 'anyconnect'), ('anyconnect', '!'), ('!', '!'), ('blazingly', 'faster', 'than'), ('faster', 'than', 'cisco'), ('than', 'cisco', 'anyconnect'), ('cisco', 'anyconnect', '!'), ('anyconnect', '!', '!'), ('blazingly', 'faster', 'than', 'cisco'), ('faster', 'than', 'cisco', 'anyconnect'), ('than', 'cisco', 'anyconnect', '!'), ('cisco', 'anyconnect', '!', '!')]",
2,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRUZ6NzE3UWRtemlsU0EwaEQyUTZuX0tnaFJOSXJkNTNUNkpIcGlBU210eVlzSFFmcDhPTGs2VGtQMmVZZGgyQzRZZE54Rk1Od283VDc4b2c,English,,5,2017-05-16,,,Needs to be updated.,,OTHER,"['needs', 'to', 'be', 'updated', '.']","['needs', 'to', 'be', 'updated', '.']","['updated', '.']","['updat', '.']","[('needs', 'to'), ('to', 'be'), ('be', 'updated'), ('updated', '.'), ('needs', 'to', 'be'), ('to', 'be', 'updated'), ('be', 'updated', '.'), ('needs', 'to', 'be', 'updated'), ('to', 'be', 'updated', '.')]",
3,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRWtfSThVOFdBSTE1WG45SmNyV25ucDhSUHRNZTRMYTZxUmw0eC1UNk1JMUEyby1WcC1KUmpZdnNONUE2NTNlajBpaTFMSlB0RVh3bDJRZVE,English,,5,2017-05-07,From Concept To Reality,,Best ever! I wish Cisco stuff was this good.,,OTHER,"['best', 'ever', '!', 'i', 'wish', 'cisco', 'stuff', 'was', 'this', 'good', '.']","['best', 'ever', '!', 'i', 'wish', 'cisco', 'stuff', 'was', 'this', 'good', '.']","['!', 'cisco', 'stuff', 'good', '.']","['!', 'cisco', 'stuff', 'good', '.']","[('best', 'ever'), ('ever', '!'), ('!', 'i'), ('i', 'wish'), ('wish', 'cisco'), ('cisco', 'stuff'), ('stuff', 'was'), ('was', 'this'), ('this', 'good'), ('good', '.'), ('best', 'ever', '!'), ('ever', '!', 'i'), ('!', 'i', 'wish'), ('i', 'wish', 'cisco'), ('wish', 'cisco', 'stuff'), ('cisco', 'stuff', 'was'), ('stuff', 'was', 'this'), ('was', 'this', 'good'), ('this', 'good', '.'), ('best', 'ever', '!', 'i'), ('ever', '!', 'i', 'wish'), ('!', 'i', 'wish', 'cisco'), ('i', 'wish', 'cisco', 'stuff'), ('wish', 'cisco', 'stuff', 'was'), ('cisco', 'stuff', 'was', 'this'), ('stuff', 'was', 'this', 'good'), ('was', 'this', 'good', '.')]",
4,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRnpCbldQMUhYLTRIcllaekR4bjU3M0N4NXBCemJwa0xMNmZVX21nTS02QnhHLXdIazhBajA0a1lITE5GTUFwWHdZbTVxM1h1eFU2VVJ2SWc,English,,5,2017-05-06,,,Merge perfect pe asa si nu ai nevoie de licenta pentru mobil.,,OTHER,"['merge', 'perfect', 'pe', 'asa', 'si', 'nu', 'ai', 'nevoie', 'de', 'licenta', 'pentru', 'mobil', '.']","['merge', 'perfect', 'pe', 'asa', 'si', 'nu', 'ai', 'nevoie', 'de', 'licenta', 'pentru', 'mobil', '.']","['merge', 'perfect', 'pe', 'asa', 'si', 'nu', 'ai', 'nevoie', 'licenta', 'pentru', 'mobil', '.']","['merg', 'perfect', 'pe', 'asa', 'si', 'nu', 'ai', 'nevoi', 'licenta', 'pentru', 'mobil', '.']","[('merge', 'perfect'), ('perfect', 'pe'), ('pe', 'asa'), ('asa', 'si'), ('si', 'nu'), ('nu', 'ai'), ('ai', 'nevoie'), ('nevoie', 'de'), ('de', 'licenta'), ('licenta', 'pentru'), ('pentru', 'mobil'), ('mobil', '.'), ('merge', 'perfect', 'pe'), ('perfect', 'pe', 'asa'), ('pe', 'asa', 'si'), ('asa', 'si', 'nu'), ('si', 'nu', 'ai'), ('nu', 'ai', 'nevoie'), ('ai', 'nevoie', 'de'), ('nevoie', 'de', 'licenta'), ('de', 'licenta', 'pentru'), ('licenta', 'pentru', 'mobil'), ('pentru', 'mobil', '.'), ('merge', 'perfect', 'pe', 'asa'), ('perfect', 'pe', 'asa', 'si'), ('pe', 'asa', 'si', 'nu'), ('asa', 'si', 'nu', 'ai'), ('si', 'nu', 'ai', 'nevoie'), ('nu', 'ai', 'nevoie', 'de'), ('ai', 'nevoie', 'de', 'licenta'), ('nevoie', 'de', 'licenta', 'pentru'), ('de', 'licenta', 'pentru', 'mobil'), ('licenta', 'pentru', 'mobil', '.')]",
5,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRWgySVpjdVM1ZXZMWkV3UTFDQjc3bFJ5dnR0WXVGY05FYU9PbXVMcWljejRVVkRMZ24tRDBFVUpsdFJ4SFp5TS12eVVwY1BPS0pwd0Eyanc,English,,5,2017-04-18,mohamad dhfani,,,,OTHER,['nan'],['nan'],['nan'],['nan'],[],
6,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSDRaRjFJS01PMWExMEtzeVR2N3QtSDhpTXJDQ0RyczFHRWZiZFN5QXBobVBIc2FBNVR0U1RFd0tZT1lwSFhLbS1tajVaNFlsSUdDNkdoWWc,English,,1,2017-04-07,Bruno - Koricya,,Seems working ok. Has not been updated for a long time.,,OTHER,"['seems', 'working', 'ok.', 'has', 'not', 'been', 'updated', 'for', 'a', 'long', 'time', '.']","['seems', 'working', 'ok.', 'has', 'updated', 'for', 'a', 'long', 'time', '.']","['working', 'ok.', 'updated', 'long', 'time', '.']","['work', 'ok.', 'updat', 'long', 'time', '.']","[('seems', 'working'), ('working', 'ok.'), ('ok.', 'has'), ('has', 'not'), ('not', 'been'), ('been', 'updated'), ('updated', 'for'), ('for', 'a'), ('a', 'long'), ('long', 'time'), ('time', '.'), ('seems', 'working', 'ok.'), ('working', 'ok.', 'has'), ('ok.', 'has', 'not'), ('has', 'not', 'been'), ('not', 'been', 'updated'), ('been', 'updated', 'for'), ('updated', 'for', 'a'), ('for', 'a', 'long'), ('a', 'long', 'time'), ('long', 'time', '.'), ('seems', 'working', 'ok.', 'has'), ('working', 'ok.', 'has', 'not'), ('ok.', 'has', 'not', 'been'), ('has', 'not', 'been', 'updated'), ('not', 'been', 'updated', 'for'), ('been', 'updated', 'for', 'a'), ('updated', 'for', 'a', 'long'), ('for', 'a', 'long', 'time'), ('a', 'long', 'time', '.')]",
7,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSFlhbFFKODNUeEJHSG51QUJYcE55MHZoUV9Ia2ZzMGRoOGdsOFdMVVdCcGJJVkMyd3FmamluUThpTUJRcTRWdy1tMFlwQXhFNEdsMUFuUHc,English,,5,2017-03-21,,,Iii,,OTHER,['iii'],['iii'],['iii'],['iii'],[],
8,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRjREZklyaFBWWlJfVThydG5VYUUyNjQwNWNqZ1pCYkpGNnJxejFMbTM4djY1bW1CWlh6Y2ZRWHFGYVFzQkcxWXd4dkgxUEZBZ2J6bTFxY0E,English,,5,2017-03-14,Fereydoun Gholipour,,,,OTHER,['nan'],['nan'],['nan'],['nan'],[],
9,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRlR4bFViNWRQU09kWUdoeE9NLUJpc1NEUTZMUlM5a0ZhdmltZTBXUHV4UkpObW5PX0Jad3p4UUFKU1ktNE44VmpvNXJRREkyVGE0N1FSWkE,English,,5,2017-02-18,Quatham Mumin,,Just awesome... Works great with my ASA5505 that only has a base license for any connect,,OTHER,"['just', 'awesome', '...', 'works', 'great', 'with', 'my', 'asa5505', 'that', 'only', 'has', 'a', 'base', 'license', 'for', 'any', 'connect']","['just', 'awesome', '...', 'works', 'great', 'with', 'my', 'asa5505', 'that', 'only', 'has', 'a', 'base', 'license', 'for', 'any', 'connect']","['awesome', '...', 'works', 'great', 'asa5505', 'base', 'license', 'connect']","['awesom', '...', 'work', 'great', 'asa5505', 'base', 'licens', 'connect']","[('just', 'awesome'), ('awesome', '...'), ('...', 'works'), ('works', 'great'), ('great', 'with'), ('with', 'my'), ('my', 'asa5505'), ('asa5505', 'that'), ('that', 'only'), ('only', 'has'), ('has', 'a'), ('a', 'base'), ('base', 'license'), ('license', 'for'), ('for', 'any'), ('any', 'connect'), ('just', 'awesome', '...'), ('awesome', '...', 'works'), ('...', 'works', 'great'), ('works', 'great', 'with'), ('great', 'with', 'my'), ('with', 'my', 'asa5505'), ('my', 'asa5505', 'that'), ('asa5505', 'that', 'only'), ('that', 'only', 'has'), ('only', 'has', 'a'), ('has', 'a', 'base'), ('a', 'base', 'license'), ('base', 'license', 'for'), ('license', 'for', 'any'), ('for', 'any', 'connect'), ('just', 'awesome', '...', 'works'), ('awesome', '...', 'works', 'great'), ('...', 'works', 'great', 'with'), ('works', 'great', 'with', 'my'), ('great', 'with', 'my', 'asa5505'), ('with', 'my', 'asa5505', 'that'), ('my', 'asa5505', 'that', 'only'), ('asa5505', 'that', 'only', 'has'), ('that', 'only', 'has', 'a'), ('only', 'has', 'a', 'base'), ('has', 'a', 'base', 'license'), ('a', 'base', 'license', 'for'), ('base', 'license', 'for', 'any'), ('license', 'for', 'any', 'connect')]",
10,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPR1czczJBRmhaZHdJRldNbW5TUUVMVmlXbXZkWkNzazk1cmttdU9XSGJJSEFhOTJDRUFicmdXb2ZaWlVIeHgtSWMwT3RoSTRmMDY1eUVyNWc,English,,5,2017-02-13,Phil Hess,,Works quickly. No license needed like when using Anyconnect mobile.,,USABILITY,"['works', 'quickly', '.', 'no', 'license', 'needed', 'like', 'when', 'using', 'anyconnect', 'mobile', '.']","['works', 'quickly', '.', 'needed', 'like', 'when', 'using', 'anyconnect', 'mobile', '.']","['works', '.', 'needed', 'anyconnect', 'mobile', '.']","['work', '.', 'need', 'anyconnect', 'mobil', '.']","[('works', 'quickly'), ('quickly', '.'), ('.', 'no'), ('no', 'license'), ('license', 'needed'), ('needed', 'like'), ('like', 'when'), ('when', 'using'), ('using', 'anyconnect'), ('anyconnect', 'mobile'), ('mobile', '.'), ('works', 'quickly', '.'), ('quickly', '.', 'no'), ('.', 'no', 'license'), ('no', 'license', 'needed'), ('license', 'needed', 'like'), ('needed', 'like', 'when'), ('like', 'when', 'using'), ('when', 'using', 'anyconnect'), ('using', 'anyconnect', 'mobile'), ('anyconnect', 'mobile', '.'), ('works', 'quickly', '.', 'no'), ('quickly', '.', 'no', 'license'), ('.', 'no', 'license', 'needed'), ('no', 'license', 'needed', 'like'), ('license', 'needed', 'like', 'when'), ('needed', 'like', 'when', 'using'), ('like', 'when', 'using', 'anyconnect'), ('when', 'using', 'anyconnect', 'mobile'), ('using', 'anyconnect', 'mobile', '.')]",
11,OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSGNENG1QZGZMd3pLMmxqbmhLVzREcjBNYTZ2SFZyX3lDejRJZ3pJTVJ2bnpjZFRxbjBxRGVENElmSHBZTERHaXJaZlRKZHNaZ1VDaktrdnc,English,,3,2017-01-21,Manoj kc,,I don't know how to use this app,,USABILITY,"['i', 'do', ""n't"", 'know', 'how', 'to', 'use', 'this', 'app']","['i', 'to', 'use', 'this', 'app']",['app'],['app'],"[('i', 'do'), ('do', ""n't""), (""n't"", 'know'), ('know', 'how'), ('how', 'to'), ('to', 'use'), ('use', 'this'), ('this', 'app'), ('i', 'do', ""n't""), ('do', ""n't"", 'know'), (""n't"", 'know', 'how'), ('know', 'how', 'to'), ('how', 'to', 'use'), ('to', 'use', 'this'), ('use', 'this', 'app'), ('i', 'do', ""n't"", 'know'), ('do', ""n't"", 'know', 'how'), (""n't"", 'know', 'how', 'to'), ('know', 'how', 'to', 'use'), ('how', 'to', 'use', 'this'), ('to', 'use', 'this', 'app')]",
