"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"2609","1628","5",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2610","1028","5",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2611","1628","10",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2612","1028","10",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2613","1628","15",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2614","1028","15",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2615","1628","20",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2616","1028","20",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""times"":[0.0]}","0.0"
"2619","1075","5",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2620","1541","5",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2621","1075","10",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2622","1541","10",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2623","1075","15",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2624","1541","15",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2625","1075","20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2626","1541","20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""times"":[0.05]}","0.05"
"2627","1356","0",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2629","1356","5",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2630","1192","5",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2631","1356","10",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2632","1192","10",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2633","1356","15",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2634","1192","15",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2635","1356","20",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2636","1192","20",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""times"":[0.07500000000000001]}","0.075"
"2639","1276","5",1,0,"{""source"":[]}","{""tribes"":[[706,1276,1116]],""tribes_score"":[580.3209343861101],""times"":[0.1]}","0.1"
"2641","1276","10",1,0,"{""source"":[]}","{""tribes"":[[706,1276,1116]],""tribes_score"":[580.3209343861101],""times"":[0.1]}","0.1"
"2643","1276","15",1,0,"{""source"":[]}","{""tribes"":[[706,1276,1116]],""tribes_score"":[580.3209343861101],""times"":[0.1]}","0.1"
"2644","1116","15",1,0,"{""source"":[]}","{""tribes"":[[706,1276,1116]],""tribes_score"":[580.3209343861101],""times"":[0.1]}","0.1"
"2645","1276","20",1,0,"{""source"":[]}","{""tribes"":[[706,1276,1116]],""tribes_score"":[580.3209343861101],""times"":[0.1]}","0.1"
"2646","1116","20",1,0,"{""source"":[]}","{""tribes"":[[706,1276,1116]],""tribes_score"":[580.3209343861101],""times"":[0.1]}","0.1"
"2648","1322","5",1,0,"{""source"":[]}","{""tribes"":[[703,1322,1116]],""tribes_score"":[544.7989654956671],""times"":[0.125]}","0.125"
"2649","1322","10",1,0,"{""source"":[]}","{""tribes"":[[703,1322,1116]],""tribes_score"":[544.7989654956671],""times"":[0.125]}","0.125"
"2650","1322","15",1,0,"{""source"":[]}","{""tribes"":[[703,1322,1387]],""tribes_score"":[530.2485758816069],""times"":[0.125]}","0.125"
"2651","1387","15",1,0,"{""source"":[]}","{""tribes"":[[703,1322,1387]],""tribes_score"":[530.2485758816069],""times"":[0.125]}","0.125"
"2652","1322","20",1,0,"{""source"":[]}","{""tribes"":[[703,1322,1387]],""tribes_score"":[530.2485758816069],""times"":[0.125]}","0.125"
"2653","1387","20",1,0,"{""source"":[]}","{""tribes"":[[703,1322,1387]],""tribes_score"":[530.2485758816069],""times"":[0.125]}","0.125"
"2654","868","0",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2656","868","5",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2657","976","5",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2658","868","10",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2659","976","10",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2660","868","15",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2661","976","15",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2662","868","20",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2663","976","20",1,0,"{""source"":[]}","{""tribes"":[[705,868,976]],""tribes_score"":[388.8006369999423],""times"":[0.15000000000000002]}","0.15"
"2664","1347","0",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2665","1100","0",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2666","1347","5",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2667","1100","5",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2668","1347","10",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2669","1100","10",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2670","1347","15",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2671","1100","15",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2672","1347","20",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2673","1100","20",1,0,"{""source"":[]}","{""tribes"":[[713,1347,1100]],""tribes_score"":[572.8818667613373],""times"":[0.17500000000000002]}","0.175"
"2674","1219","0",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2676","1219","5",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2677","835","5",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2678","1219","10",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2679","835","10",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2680","1219","15",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2681","835","15",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2682","1219","20",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2683","835","20",1,0,"{""source"":[]}","{""tribes"":[[712,1219,835]],""tribes_score"":[477.9161122061534],""times"":[0.25]}","0.25"
"2686","719","5",1,0,"{""source"":[]}","{""tribes"":[[715,719,993]],""tribes_score"":[393.3015624406442],""times"":[0.275]}","0.275"
"2687","993","5",1,0,"{""source"":[]}","{""tribes"":[[715,719,993]],""tribes_score"":[393.3015624406442],""times"":[0.275]}","0.275"
"2688","719","10",1,0,"{""source"":[]}","{""tribes"":[[715,719,993]],""tribes_score"":[393.3015624406442],""times"":[0.275]}","0.275"
"2689","993","10",1,0,"{""source"":[]}","{""tribes"":[[715,719,993]],""tribes_score"":[393.3015624406442],""times"":[0.275]}","0.275"
