"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"142","1028","21",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""highlights_count"":[233],""times"":[0.0],""penalties"":[0]}","0.0"
"144","1028","31",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""highlights_count"":[233],""times"":[0.0],""penalties"":[0]}","0.0"
"146","1028","41",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""highlights_count"":[233],""times"":[0.0],""penalties"":[0]}","0.0"
"147","1628","0_5",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""highlights_count"":[233],""times"":[0.0],""penalties"":[-0.0]}","0.0"
"151","1628","0_20",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""highlights_count"":[233],""times"":[0.0],""penalties"":[-0.0]}","0.0"
"153","1628","10_20",1,0,"{""source"":[]}","{""tribes"":[[711,1628,1028]],""tribes_score"":[506.97050139976653],""highlights_count"":[233],""times"":[0.0],""penalties"":[-0.0]}","0.0"
"165","1075","0_5",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"166","1541","0_5",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"167","1075","10_5",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"168","1541","10_5",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"169","1075","0_20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"170","1541","0_20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"171","1075","10_20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"172","1541","10_20",1,0,"{""source"":[]}","{""tribes"":[[702,1075,1541]],""tribes_score"":[547.6796828124657],""highlights_count"":[98],""times"":[0.06],""penalties"":[-0.0]}","0.06"
"173","1356","1",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""highlights_count"":[299],""times"":[0.09],""penalties"":[0]}","0.09"
"174","1192","1",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""highlights_count"":[299],""times"":[0.09],""penalties"":[0]}","0.09"
"176","1192","11",1,0,"{""source"":[]}","{""tribes"":[[708,1356,1192]],""tribes_score"":[497.2187011632129],""highlights_count"":[299],""times"":[0.09],""penalties"":[0]}","0.09"
"148","1028","0_5",2,0,"{""source"":[]}","{""tribes"":[[711,1628,1028],[731,1483,1028]],""tribes_score"":[506.97050139976653,587.1384480007888],""highlights_count"":[233,248],""times"":[0.0,0.8999999999999999],""penalties"":[-0.0,""0.0""]}","0.9"
"150","1028","10_5",2,0,"{""source"":[]}","{""tribes"":[[711,1628,1028],[731,1672,1028]],""tribes_score"":[506.97050139976653,577.9557424471616],""highlights_count"":[233,135],""times"":[0.0,0.8999999999999999],""penalties"":[-0.0,""1.000000000000001""]}","0.9"
"154","1028","10_20",2,0,"{""source"":[]}","{""tribes"":[[711,1628,1028],[731,1672,1028]],""tribes_score"":[506.97050139976653,577.9557424471616],""highlights_count"":[233,135],""times"":[0.0,0.8999999999999999],""penalties"":[-0.0,""1.000000000000001""]}","0.9"
"156","1541","1",2,0,"{""source"":[]}","{""tribes"":[[702,1075,1541],[790,1541,1075]],""tribes_score"":[547.6796828124657,463.4174882025011],""highlights_count"":[98,44],""times"":[0.06,1.2],""penalties"":[0,0]}","1.2"
