"id","user_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"2733","1454",0,79,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"3109","1586",0,79,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"2738","1304",0,79,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"2785","1178",0,77,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,746,749,747,748,750,751,754,756,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"2719","773",0,78,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"3162","1144",0,78,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"2810","764",0,78,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"2488","762",0,78,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"2816","1432",0,79,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
"3071","1574",0,79,"{""source"":[711,702,708,706,703,713,712,715,716,714,726,718,720,722,724,719,721,730,731,733,796,734,789,797,791,793,735,790,795,798,802,799,800,801,737,739,744,736,743,738,740,742,745,746,749,747,748,750,751,754,756,752,759,755,758,757,762,761,803,763,764,765,775,766,768,771,770,767,769,773,772,776,777,780,779,781,785,782,696]}","{""tribes"":[],""tribes_score"":[]}",NULL
