"id","user_id","matches","potential_matches","last_matched_at"
"921","1074",0,10,NULL
"898","1512",0,8,NULL
"177","1511",0,562,NULL
"372","1680",3,606,"2019-06-27 19:25:00.437463"
"700","1335",2,577,"2019-06-27 19:25:38.383421"
"922","1208",0,10,NULL
"913","705",0,10,NULL
"923","990",0,8,NULL
"749","1008",0,576,NULL
"97","1062",0,577,NULL
"162","1500",0,576,NULL
"846","1521",0,577,NULL
"337","1264",0,576,NULL
"333","1248",0,576,NULL
"904","838",0,8,NULL
"1","553",0,8,NULL
"553","1509",0,577,NULL
"226","805",0,502,NULL
"718","1382",2,577,"2019-06-27 19:00:40.510126"
"139","849",0,576,NULL
"92","1674",0,578,NULL
"196","961",0,577,NULL
"786","1225",1,576,"2019-06-27 19:09:16.79652"
"931","1263",0,10,NULL
"299","978",1,576,"2019-06-27 18:09:09.514528"
"929","947",0,8,NULL
"112","1554",0,577,NULL
"554","1081",1,576,"2019-06-27 18:06:00.213839"
"926","893",0,10,NULL
"191","830",0,576,NULL
"287","883",0,576,NULL
"910","1021",0,10,NULL
"905","1193",0,9,NULL
"145","1274",0,576,NULL
"373","1065",0,576,NULL
"936","1139",0,10,NULL
"164","824",0,576,NULL
"160","1197",0,576,NULL
"927","1289",0,10,NULL
"128","785",0,576,NULL
"659","1256",0,576,NULL
"234","1298",0,576,NULL
"218","1246",0,546,NULL
"280","771",2,569,"2019-06-27 18:35:59.190544"
"807","1453",3,576,"2019-06-27 19:31:09.918545"
"198","799",0,561,NULL
"899","1156",0,10,NULL
"897","1443",0,10,NULL
"228","1115",0,576,NULL
"88","918",0,577,NULL
"915","729",0,10,NULL
"920","1427",0,10,NULL
"831","1060",0,576,NULL
"392","770",0,576,NULL
"906","1372",0,9,NULL
"93","1088",0,577,NULL
"86","1530",0,578,NULL
"223","1477",1,577,"2019-06-27 18:40:31.616683"
"911","1579",0,10,NULL
"107","1401",0,578,NULL
"908","1656",0,9,NULL
"102","1572",0,578,NULL
"200","861",0,522,NULL
"916","1582",0,8,NULL
"268","1619",1,577,"2019-06-27 19:08:19.657857"
"183","1555",0,577,NULL
"208","1612",0,557,NULL
"328","1414",0,577,NULL
"230","1033",2,577,"2019-06-27 18:25:15.084664"
"901","1250",0,9,NULL
"924","882",0,10,NULL
"937","1485",0,10,NULL
"236","1386",1,558,"2019-06-27 19:33:04.785148"
"369","1623",2,606,"2019-06-27 19:32:10.162335"
"900","1066",0,9,NULL
"210","865",0,576,NULL
"314","1348",0,577,NULL
"203","1090",0,576,NULL
"919","1621",0,10,NULL
"187","992",0,576,NULL
"925","1280",0,10,NULL
"206","856",0,521,NULL
"918","943",0,10,NULL
"227","1344",1,578,"2019-06-27 19:21:40.368596"
"132","1537",0,578,NULL
"907","1567",0,10,NULL
"934","910",0,10,NULL
"932","1396",1,11,"2019-06-27 18:29:45.814666"
"909","1183",0,9,NULL
"117","1399",0,578,NULL
"914","1682",0,10,NULL
"108","1552",0,578,NULL
"87","936",0,577,NULL
"930","1240",0,10,NULL
"912","1017",0,9,NULL
"167","998",1,576,"2019-06-27 19:34:01.385041"
"933","1053",0,10,NULL
"935","1403",0,10,NULL
"140","1646",0,578,NULL
"168","1693",2,578,"2019-06-27 18:25:15.084664"
"472","789",0,605,NULL
"216","1475",0,576,NULL
"481","1237",1,576,"2019-06-27 19:41:46.759285"
"192","1410",1,577,"2019-06-27 18:19:16.162767"
"836","1563",0,577,NULL
"382","897",0,576,NULL
"178","1692",0,577,NULL
"110","1003",0,576,NULL
"928","1258",0,8,NULL
"251","730",0,576,NULL
"169","1154",0,576,NULL
"917","1583",0,10,NULL
"673","1409",0,577,NULL
"175","1188",0,576,NULL
"155","1173",0,576,NULL
"902","1439",0,10,NULL
"201","754",0,555,NULL
"903","1502",0,9,NULL
"715","1470",3,576,"2019-06-27 19:05:56.398552"
"732","1667",0,577,NULL
"657","1684",2,577,"2019-06-27 18:50:32.776348"
"819","1186",2,576,"2019-06-27 19:26:07.937454"
"705","1540",0,577,NULL
"636","839",0,576,NULL
"567","1285",9,576,"2019-06-27 19:47:23.193454"
"356","1516",0,577,NULL
"240","736",0,576,NULL
"817","892",14,576,"2019-06-27 19:28:19.159141"
"246","1384",0,577,NULL
"211","1079",0,605,NULL
"127","952",0,577,NULL
"278","848",1,576,"2019-06-27 19:34:15.13837"
"294","963",0,576,NULL
"319","949",0,561,NULL
"115","1270",0,576,NULL
"271","1191",1,576,"2019-06-27 18:00:23.403603"
"632","923",5,534,"2019-06-27 19:34:56.576182"
"186","776",1,576,"2019-06-27 18:53:17.350201"
"879","1314",2,576,"2019-06-27 19:21:54.55701"
"818","1395",2,577,"2019-06-27 19:41:34.09812"
"260","1653",0,577,NULL
"295","1042",1,576,"2019-06-27 18:29:02.771633"
"269","1080",0,576,NULL
"360","1120",0,576,NULL
"366","1378",0,577,NULL
"344","1454",0,576,NULL
"322","986",7,576,"2019-06-27 19:15:43.622352"
"257","820",0,557,NULL
"365","1588",0,577,NULL
"370","1199",0,576,NULL
"113","1484",0,577,NULL
"276","1482",1,576,"2019-06-27 18:03:45.026281"
"123","1644",1,577,"2019-06-27 18:10:13.193521"
"131","1614",0,578,NULL
"793","993",6,576,"2019-06-27 19:26:25.814228"
"148","1666",0,577,NULL
"390","875",0,559,NULL
"277","1111",0,576,NULL
"266","1638",0,577,NULL
"172","1135",0,576,NULL
"114","1524",0,578,NULL
"241","843",5,576,"2019-06-27 19:44:07.559542"
"253","1426",0,494,NULL
"166","1665",0,577,NULL
"327","1287",0,576,NULL
"798","999",1,576,"2019-06-27 18:54:18.347099"
"309","1630",2,549,"2019-06-27 19:38:30.184598"
"111","714",0,577,NULL
"129","1077",0,576,NULL
"179","1590",0,577,NULL
"338","1559",0,560,NULL
"320","772",0,576,NULL
"845","1441",5,576,"2019-06-27 19:43:30.090194"
"90","934",0,577,NULL
"252","1275",0,561,NULL
"146","832",0,576,NULL
"302","1326",3,577,"2019-06-27 19:39:43.165996"
"308","1295",0,576,NULL
"540","1505",0,559,NULL
"134","1472",0,576,NULL
"142","821",1,576,"2019-06-27 19:19:34.0093"
"291","1073",0,576,NULL
"301","935",3,576,"2019-06-27 18:53:46.506591"
"96","1157",1,577,"2019-06-27 18:45:29.269167"
"157","809",0,576,NULL
"262","1391",0,545,NULL
"275","1253",1,576,"2019-06-27 18:47:15.404605"
"325","1471",2,576,"2019-06-27 19:04:44.443729"
"279","1236",0,576,NULL
"312","1171",1,577,"2019-06-27 18:22:22.913895"
"237","755",0,576,NULL
"265","1067",0,576,NULL
"331","941",3,576,"2019-06-27 19:43:43.564038"
"347","1416",0,560,NULL
"122","808",1,576,"2019-06-27 19:27:24.326857"
"126","1013",0,576,NULL
"254","1479",0,576,NULL
"381","1464",0,547,NULL
"130","1603",0,578,NULL
"184","831",0,576,NULL
"171","715",0,576,NULL
"103","1584",0,577,NULL
"199","1573",0,577,NULL
"282","1069",0,577,NULL
"121","983",1,577,"2019-06-27 19:00:40.510126"
"235","721",0,576,NULL
"189","1020",0,577,NULL
"283","1217",0,576,NULL
"182","973",0,577,NULL
"361","1029",0,576,NULL
"485","724",0,576,NULL
"109","1456",0,577,NULL
"315","1631",0,577,NULL
"587","1262",0,545,NULL
"143","1213",2,577,"2019-06-27 18:49:50.804308"
"120","1261",0,605,NULL
"598","1542",0,577,NULL
"232","780",0,576,NULL
"135","1329",0,577,NULL
"245","1016",0,576,NULL
"239","1558",0,578,NULL
"380","1526",0,577,NULL
"297","840",1,559,"2019-06-27 18:19:49.79447"
"379","922",0,576,NULL
"261","1437",1,576,"2019-06-27 18:43:29.470129"
"220","1323",1,577,"2019-06-27 19:36:40.483153"
"386","915",1,576,"2019-06-27 18:34:37.98566"
"292","812",0,576,NULL
"387","1550",0,577,NULL
"391","1001",0,576,NULL
"433","1613",0,535,NULL
"249","1058",5,576,"2019-06-27 19:24:33.933491"
"505","1429",0,576,NULL
"255","1629",1,562,"2019-06-27 19:24:25.15488"
"316","1159",0,576,NULL
"303","1025",0,576,NULL
"799","1102",0,576,NULL
"393","1278",0,576,NULL
"647","1219",2,559,"2019-06-27 19:18:51.654824"
"720","1586",4,577,"2019-06-27 19:38:18.217616"
"746","1387",4,577,"2019-06-27 19:42:37.370455"
"642","1346",5,577,"2019-06-27 19:14:33.431993"
"832","1356",3,560,"2019-06-27 19:32:49.190092"
"459","1424",0,577,NULL
"672","886",1,576,"2019-06-27 18:08:28.067679"
"466","927",0,576,NULL
"359","1336",0,561,NULL
"426","1005",0,576,NULL
"454","1086",0,576,NULL
"215","1679",2,577,"2019-06-27 18:49:50.804308"
"581","1695",0,577,NULL
"420","1650",0,577,NULL
"462","889",0,576,NULL
"741","802",9,576,"2019-06-27 19:45:03.693902"
"745","746",8,576,"2019-06-27 19:31:45.616287"
"510","970",0,576,NULL
"509","767",0,576,NULL
"395","1131",3,554,"2019-06-27 19:20:01.828106"
"896","711",0,576,NULL
"446","766",7,576,"2019-06-27 19:43:43.564038"
"402","1212",0,552,NULL
"463","697",2,561,"2019-06-27 19:00:02.286167"
"204","1651",0,538,NULL
"439","806",1,576,"2019-06-27 19:35:57.802592"
"377","1655",0,577,NULL
"499","1604",0,577,NULL
"405","1465",0,576,NULL
"467","1616",2,577,"2019-06-27 19:42:11.720596"
"483","1602",2,577,"2019-06-27 18:17:39.517209"
"399","826",0,576,NULL
"496","1528",0,577,NULL
"733","726",0,576,NULL
"539","1412",1,577,"2019-06-27 18:22:02.860839"
"538","1147",1,576,"2019-06-27 18:22:12.921268"
"470","1599",1,577,"2019-06-27 18:30:11.834711"
"159","783",0,576,NULL
"401","876",0,558,NULL
"508","1292",0,576,NULL
"506","1589",2,577,"2019-06-27 19:21:02.441668"
"491","1125",0,576,NULL
"565","1026",4,534,"2019-06-27 19:00:02.286167"
"400","1498",0,576,NULL
"779","988",3,576,"2019-06-27 19:44:32.862746"
"397","1492",3,576,"2019-06-27 19:41:06.395062"
"414","1377",15,577,"2019-06-27 19:45:29.490913"
"536","1560",0,577,NULL
"487","1015",1,576,"2019-06-27 18:16:06.974885"
"501","1096",0,536,NULL
"436","1269",0,576,NULL
"478","701",0,576,NULL
"527","1413",9,577,"2019-06-27 19:41:21.06834"
"497","1694",0,577,NULL
"514","931",1,560,"2019-06-27 18:58:40.071034"
"452","712",0,576,NULL
"479","1353",1,535,"2019-06-27 18:27:29.939324"
"248","1350",0,577,NULL
"417","828",0,576,NULL
"530","1149",0,576,NULL
"422","1556",0,561,NULL
"259","1678",2,606,"2019-06-27 19:09:56.150279"
"449","1418",0,577,NULL
"469","1087",0,576,NULL
"525","1057",0,576,NULL
"165","1150",2,576,"2019-06-27 19:45:29.490913"
"445","1461",4,583,"2019-06-27 19:26:37.528833"
"440","1182",3,570,"2019-06-27 19:25:21.311487"
"158","1445",1,576,"2019-06-27 19:19:34.0093"
"409","1388",1,560,"2019-06-27 19:40:27.93516"
"150","807",0,576,NULL
"594","1458",1,559,"2019-06-27 18:18:11.093965"
"410","919",0,560,NULL
"404","1525",0,562,NULL
"156","1532",0,577,NULL
"492","735",1,559,"2019-06-27 19:21:15.838882"
"524","752",1,559,"2019-06-27 19:32:41.018142"
"535","1004",0,576,NULL
