"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"4754","1585","10_5",1,0,"{""source"":[]}","{""tribes"":[[1138,1162,1585]],""tribes_score"":[525.3514307166232],""highlights_count"":[62],""times"":[14.79],""penalties"":[-5]}","14.79"
"4755","1585","0_20",1,0,"{""source"":[]}","{""tribes"":[[1138,1162,1585]],""tribes_score"":[525.3514307166232],""highlights_count"":[62],""times"":[14.79],""penalties"":[-20]}","14.79"
"4756","1525","10_20",1,0,"{""source"":[]}","{""tribes"":[[1138,1162,1525]],""tribes_score"":[527.0698743500895],""highlights_count"":[72],""times"":[14.79],""penalties"":[-20]}","14.79"
"1359","1541","10_20",6,0,"{""source"":[]}","{""tribes"":[[702,1075,1541],[1248,1541,923],[1350,1389,1541],[1516,1549,1541],[1566,1541,1516],[1674,1110,1541]],""tribes_score"":[547.6796828124657,530.2791647739974,499.17602670863243,512.3766570200801,489.71403396457777,357.22054589854974],""highlights_count"":[98,62,84,85,94,19],""times"":[0.06,18.45,22.02,23.88,26.459999999999997,29.189999999999998],""penalties"":[-0.0,0,0,0,0,0]}","29.19"
"1357","1541","0_20",6,0,"{""source"":[]}","{""tribes"":[[702,1075,1541],[1248,1541,923],[1350,1389,1541],[1516,1549,1541],[1566,1541,1516],[1641,1628,1541]],""tribes_score"":[547.6796828124657,530.2791647739974,499.17602670863243,512.3766570200801,489.71403396457777,402.7909623266057],""highlights_count"":[98,62,84,85,94,51],""times"":[0.06,18.45,22.02,23.88,26.459999999999997,28.2],""penalties"":[-0.0,""-0.0"",""-0.0"",""-0.0"",""-0.0"",""-0.0""]}","28.2"
"1360","1356","1",5,0,"{""source"":[]}","{""tribes"":[[708,1356,1192],[1453,1356,868],[1249,1356,1334],[1352,1356,802],[1686,1356,1357]],""tribes_score"":[497.2187011632129,530.2678266860221,538.6351773797153,501.38918566462337,510.5572606682638],""highlights_count"":[299,88,284,270,223],""times"":[0.09,11.879999999999999,18.36,22.11,29.849999999999998],""penalties"":[0,0,0,0,0]}","29.85"
"1351","1541","41",9,0,"{""source"":[]}","{""tribes"":[[702,1075,1541],[790,1541,1075],[991,1075,1541],[1075,1541,923],[1241,1389,1541],[1248,923,1541],[1350,1389,1541],[1516,1549,1541],[1566,1541,1516]],""tribes_score"":[547.6796828124657,463.4174882025011,542.5452006287578,567.1770024618424,447.06229446631016,534.1025378530678,499.17602670863243,512.3766570200801,489.71403396457777],""highlights_count"":[98,44,53,135,25,62,84,85,94],""times"":[0.06,1.2,9.51,12.84,18.0,18.45,22.02,23.88,26.459999999999997],""penalties"":[0,0,0,0,0,""22.55"",0,0,0]}","26.46"
"1343","1541","1",9,0,"{""source"":[]}","{""tribes"":[[702,1075,1541],[790,1541,1075],[1110,1541,1419],[1248,1541,923],[1350,1389,1541],[1516,1549,1541],[1529,1664,1541],[1566,1541,1516],[1641,1628,1541]],""tribes_score"":[547.6796828124657,463.4174882025011,451.79487496692224,530.2791647739974,499.17602670863243,512.3766570200801,466.30333902975764,489.71403396457777,402.7909623266057],""highlights_count"":[98,44,26,62,84,85,36,94,51],""times"":[0.06,1.2,13.83,18.45,22.02,23.88,25.05,26.459999999999997,28.2],""penalties"":[0,0,0,0,0,0,0,0,0]}","28.2"
"1352","1075","0_5",9,0,"{""source"":[]}","{""tribes"":[[702,1075,1541],[883,1075,1116],[926,1075,991],[925,1075,737],[948,1075,991],[951,1075,1116],[957,1075,991],[1018,1075,991],[1541,1075,923]],""tribes_score"":[547.6796828124657,516.8262964059759,510.45355126689003,521.6545212235333,535.8340511261745,536.3428140944901,497.14669782216214,531.0981707044025,567.1770024618424],""highlights_count"":[98,195,50,130,43,69,72,47,135],""times"":[0.06,6.12,7.02,7.41,8.16,8.34,8.549999999999999,10.41,25.529999999999998],""penalties"":[-0.0,""-0.0"",""0.0"",""0.0"",""0.0"",""0.0"",""0.0"",""-0.0"",""-0.0""]}","25.53"
"1333","1028","41",6,0,"{""source"":[]}","{""tribes"":[[711,1628,1028],[1483,731,1028],[1233,1483,1028],[1505,1028,1116],[1593,731,1028],[1669,906,1028]],""tribes_score"":[506.97050139976653,587.1384480007888,540.0475840640825,524.9914864682147,502.9820146719222,527.9978450809693],""highlights_count"":[233,248,160,189,70,106],""times"":[0.0,16.38,18.09,20.46,27.029999999999998,29.31],""penalties"":[0,0,0,0,0,0]}","29.31"
