"id","level"
"2108",7
"2109",8
"2110",7
"2111",4
"2112",9
"2113",6
"2114",5
"2115",6
"2116",8
"2117",6
"2118",8
"2119",9
"2120",6
"2121",6
"2122",5
"2123",8
"2124",6
"2125",8
"2126",9
"2127",7
"2128",5
"2129",7
"2130",7
"2131",5
"2132",7
"2133",8
"2134",6
"2135",9
"2136",4
"2137",4
"2138",8
"2139",9
"2140",8
"2141",5
"2142",7
"2143",8
"2144",8
"2145",9
"2146",4
"2147",4
"2148",9
"2149",8
"2150",5
"2151",9
"2152",7
"2153",9
"2154",7
"2155",7
"2156",9
"2157",9
"2158",4
"2159",9
"2160",7
"2161",7
"2162",7
"2163",5
"2164",8
"2165",4
"2166",4
"2167",7
"2168",5
"2169",7
"2170",5
"2171",7
"2172",5
"2173",7
"2174",8
"2175",4
"2176",6
"2177",9
"2178",5
"2179",9
"2180",5
"2181",9
"2182",7
"2183",9
"2184",5
"2185",8
"2186",9
"2187",5
"2188",9
"2189",5
"2190",6
"2191",4
"2192",6
"2193",6
"2194",6
"2195",7
"2196",8
"2197",5
"2198",6
"2199",9
"2200",4
"2201",7
"2202",6
"2203",9
"2204",4
"2205",8
"2206",8
"2207",8
